iupac,log_solubility_mols_per_litre,smiles
Buthidazole,-1.877,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C
Nitrobenzene,-1.8,O=N(=O)c1ccccc1
Iodobenzene,-3.01,Ic1ccccc1
Metolazone,-3.78,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O 
Methocarbamol,-0.985,COc1ccccc1OCC(O)COC(N)=O
butachlor,-4.19,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 
"2,3-Dichlorophenol",-1.3,Oc1cccc(Cl)c1Cl
Propyl butyrate,-1.92,CCCC(=O)OC
Propanil,-3,CCC(=O)Nc1ccc(Cl)c(Cl)c1
Triamterene,-2.404,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3
Ethyl hexanoate,-2.35,CCCCCC(=O)OCC
chloralose,-1.84,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl 
Amitraz,-5.47,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
Prometon,-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1
1-Octene ,-4.44,CCCCCCC=C
p-Methylaniline ,-1.21,Cc1ccc(N)cc1
aminothiazole,-0.36,Nc1nccs1 
Metolcarb,-1.803,c1ccccc1(OC(=O)NC)
3-Hexanol,-0.8,CCCC(O)CC
9-anthrol,-4.73,c3ccc2c(O)c1ccccc1cc2c3 
2-Methylanthracene,-6.96,Cc1ccc2cc3ccccc3cc2c1
"1,2,3-Trimethylbenzene ",-3.2,Cc1cccc(C)c1C
Aminocarb,-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1
2-Nonanol,-2.74,CCCCCCCC(C)O
Methyldymron,-3.35,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2
3-Hexanone,-0.83,CCCC(=O)CC
bromoxynil,-3.33,Oc1c(Br)cc(C#N)cc1Br 
"3,4-PCB",-6.39,Clc1ccc(cc1Cl)c2ccccc2 
Mefenacet,-4.873,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3
5-hydroxyquinoline,-2.54,Oc1cccc2ncccc12 
Carboxin,-3.14,CC1=C(SCCO1)C(=O)Nc2ccccc2
Ethoxyzolamide,-3.81,CCOc2ccc1nc(sc1c2)S(N)(=O)=O 
Pentachlorophenol,-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
Bromochloromethane,-0.89,ClCBr
metharbital,-2.23,CCC1(CC)C(=O)NC(=O)N(C)C1=O 
deoxycorticosterone acetate,-4.63,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
benzylurea,-0.95,NC(=O)NCc1ccccc1 
Chlortoluron,-3.483,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
Linuron,-3.592,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
Cycloheptanol,-0.88,OC1CCCCCC1
Thiamphenicol,-2.154,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl 
thiopental,-3.36,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O 
acetazolamide,-2.36,CC(=O)Nc1nnc(s1)S(N)(=O)=O 
p-Nitrophenol,-0.74,Oc1ccc(cc1)N(=O)=O
Aldrin,-6.307,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
Tetrahydrofurane ,0.49,C1CCOC1
o-Nitroaniline,-1.96,Nc1ccccc1N(=O)=O
"2,2',3,3'-PCB",-7.28,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
phenylbutazone,-3.81,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 
"2,6-Dinitrotoluene",-3,Cc1c(cccc1N(=O)=O)N(=O)=O
Progesterone,-4.42,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
Chlorazine,-4.411,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC
captafol,-5.4,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O 
"1,2,4-tribromobenzene",-4.5,c1(Br)c(Br)cc(Br)cc1
Oxazepam,-3.952,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O 
Secobarbital,-2.356,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C
Carvacrol,-2.08,c1(O)c(C)ccc(C(C)C)c1
rhodanine,-1.77,C1SC(=S)NC1(=O)
Morin,-3.083,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O 
Kepone,-5.259,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl
Disulfiram,-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC
Cyclohexane,-3.1,C1CCCCC1
Dienochlor,-7.278,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl
chlordimeform,-2.86,CN(C)C=Nc1ccc(Cl)cc1C
Equilenin,-5.24,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O
1-Octanol,-2.39,CCCCCCCCO
Diethyl sulfide,-1.34,CCSCC
"1,2-Dichloroethane",-1.06,ClCCCl
2-Chloro-2-methylbutane,-2.51,CCC(C)(C)Cl
1-Chloro-2-bromoethane,-1.32,ClCCBr
p-Nitroaniline,-2.37,Nc1ccc(cc1)N(=O)=O
Lactose,-0.244,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
RTI 2,-2.86,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 
Chlorobenzene,-2.38,Clc1ccccc1
1-Nonene ,-5.05,CCCCCCCC=C
p-Bromoiodobenzene,-4.56,Brc1ccc(I)cc1
3-Methyl-3-pentanol,-0.36,CCC(C)(O)CC
Pentylbenzene,-4.64,CCCCCc1ccccc1
allantoin,-1.6,NC(=O)NC1NC(=O)NC1=O 
Glafenine,-4.571,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23
DDD,-7.2,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
testosterone acetate,-5.184,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
1-Chloronapthalene,-3.93,Clc1cccc2ccccc12
RTI 19,-4.749,CCN2c1ccccc1N(C)C(=O)c3ccccc23 
2-Hexanol,-0.89,CCCCC(C)O
Propylcyclopentane,-4.74,CCCC1CCCC1
Etomidate,-4.735,CCOC(=O)c1cncn1C(C)c2ccccc2
"3,4-Dichlorophenol",-1.25,Oc1ccc(Cl)c(Cl)c1
Cypermethrin,-8.017,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
Benzoxazole,-1.16,c2ccc1ocnc1c2
1-Pentanol,-0.6,CCCCCO
"N,N-Diethylaniline",-3.03,CCN(CC)c1ccccc1
"1,3-Difluorobenzene",-2,Fc1cccc(F)c1
3-chloropropionitrile,-0.29,ClCCC#N 
t-Pentylbenzene,-4.15,CC(C)(C)Cc1ccccc1
5-Ethyl-5-phenylbarbital,-2.322,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1
o-Chloroiodobenzene,-3.54,Clc1ccccc1I
Benzotriazole,-0.78,c2ccc1[nH]nnc1c2
Carbofuran,-2.8,CNC(=O)Oc1cccc2CC(C)(C)Oc12
"2,6-Dimethylphenol",-1.29,Cc1cccc(C)c1O
3-Methyl-2-butanol,-0.18,CC(C)C(C)O
benzhydrol,-2.55,c1ccccc1C(O)c2ccccc2
Methyl decanoate,-4.69,CCCCCCCCCC(=O)OC
Dicapthon,-4.31,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
1-Bromo-2-methylpropane,-2.43,CC(C)CBr
Iodoethane,-1.6,CCI
Pirimicarb,-1.95,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
1-Bromohexane,-3.81,CCCCCCBr
2-Methylpentane,-3.74,CCCC(C)C
Tetrafluthrin,-7.321,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
Metolachlor,-2.73,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl 
nifuroxime,-2.19,ON=Cc1ccc(o1)N(=O)=O 
Fluvalinate,-8.003,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
Amitrole,0.522,Nc1nc[nH]n1
Tribromomethane,-1.91,BrC(Br)Br
Trichlorfon,-0.22,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
Phosalone,-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12
Phenylmethanol,-0.4,OCc1ccccc1
Coumatetralyl,-2.84,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 
4-Bromophenol,-1.09,Oc1ccc(Br)cc1
2-Bromopropane,-1.59,CC(C)Br
"2,2,4-Trimethylpentane",-4.74,CC(C)CC(C)(C)C
"1,3,5-Trinitrobenzene",-2.89,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
Nimetazepam,-3.796,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O
Propane,-1.94,CCC
Minoxidil,-1.989,Nc1cc(nc(N)n1=O)N2CCCCC2 
1-aminoacridine,-4.22,Nc2cccc3nc1ccccc1cc23 
Benzo(k)fluoranthene,-8.49,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45
Dicofol,-5.666,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
Acenapthene,-4.63,C1Cc2cccc3cccc1c23
Dialifos,-6.34,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O
"1,4-Dibromobenzene",-4.07,Brc1ccc(Br)cc1
Methazole,-2.82,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O
p-Phenylphenol,-3.48,Oc1ccc(cc1)c2ccccc2
pyracarbolid,-2.56,CC1=C(CCCO1)C(=O)Nc2ccccc2 
Ethyl vinyl ether,-0.85,CCOC=C
1-Butyne,-1.24,CCC#C
4-methoxypteridine,-1.11,COc1ncnc2nccnc12 
3-Methyl-3-heptanol,-1.6,CCCCC(C)(O)CC
"1,4-Dichlorobenzene",-3.27,Clc1ccc(Cl)cc1
3-Ethanoyloxymethylphenytoin,-4.47,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3
"Sparsomycin (3,8mg/ml)",-1.981,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
3-methylindole,-2.42,Cc1c[nH]c2ccccc12 
2-methoxypteridine,-1.11,COc2ncc1nccnc1n2
Dioxacarb,-1.57,CNC(=O)Oc1ccccc1C2OCCO2
isocarbamid,-2.15,C1N(C(=O)NCC(C)C)C(=O)NC1
Acetonitrile,0.26,CC#N
Fenoxycarb,-4.7,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2
acetyl sulfisoxazole,-3.59,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C 
"1,1,1,2-Tetrachloroethane",-2.18,ClCC(Cl)(Cl)Cl
1-Butanol,0,CCCCO
Siduron,-4.11,CC1CCCCC1NC(=O)Nc2ccccc2
"1,3,5-Trichlorobenzene",-4.48,Clc1cc(Cl)cc(Cl)c1
Furfural,-0.1,O=Cc1ccco1
3-Methylbutan-1-ol,-0.51,CC(C)CCO
piperonal,-1.63,O=Cc2ccc1OCOc1c2 
2-Methylpropene,-2.33,CC(=C)C
Benzaldehyde,-1.19,O=Cc1ccccc1
"2,3-Dimethyl-1,3-Butadiene",-2.4,CC(=C)C(=C)C
Benfuracarb,-4.71,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C
RTI 10,-3.672,O2c1ccccc1N(C)C(=O)c3cccnc23 
Fluorene ,-5,C1c2ccccc2c3ccccc13
Methylcyclohexane ,-3.85,CC1CCCCC1
sulfaguanidine,-1.99,NC(=N)NS(=O)(=O)c1ccc(N)cc1 
Methylparaben,-1.827,COC(=O)c1ccc(O)cc1
2-Methyltetrahydrofurane,0.11,CC1CCCO1
Santonin,-3.09,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C
Salicin,-0.85,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O
1-Iodopropane,-2.29,CCCI
Ametryn,-3.04,CCNc1nc(NC(C)C)nc(SC)n1
1-Propanol,0.62,CCCO
Hydroxyprogesterone-17a,-3.817,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
2-Pentanol,-0.29,CCCC(C)O
benzoin,-2.85,OC(C(=O)c1ccccc1)c2ccccc2
"2,4-Dimethylphenol",-1.19,Cc1ccc(O)c(C)c1
m-Chloronitrobenzene ,-2.77,Clc1cccc(c1)N(=O)=O
ampyrone,-0.624,Cc2c(N)c(=O)n(c1ccccc1)n2C
"2,2',4,5'-PCB",-6.57,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl 
"Hexachloro-1,3-butadiene",-4.92,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl
Terbutryn,-4,CCNc1nc(NC(C)(C)C)nc(SC)n1
3-Methyl-2-pentanol,-0.71,CCC(C)CCO
2-methylpteridine,-0.12,Cc2ncc1nccnc1n2
Danazol,-5.507,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C
1-Iodobutane,-2.96,CCCCI
2-Bromonapthalene,-4.4,Brc1ccc2ccccc2c1
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",-4.081,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
Benzyltrifluoride,-2.51,FC(F)(F)c1ccccc1
Dihexyl phthalate,-6.144,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
Dibenzothiophene,-4.38,c1ccc2c(c1)sc3ccccc23
"2,3',4,4'-PCB",-7.8,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
"2,2',3,3',4,4'-PCB",-8.01,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
Warfarin,-3.893,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
hydrobenzoin,-1.93,c1ccccc1C(O)C(O)c2ccccc2
Dimethyl phthalate,-1.66,COC(=O)c1ccccc1C(=O)OC
Ethyl octanoate,-3.39,CCCCCCCC(=O)OCC
Diethyldisulfide,-2.42,CCSSCC
"1,2-Diethoxyethane ",-0.77,CCOCCOCC
"1,2,4,5-Tetrachlorobenzene",-5.56,Clc1cc(Cl)c(Cl)cc1Cl
p-benzidine,-2.7,Nc1ccc(cc1)c2ccc(N)cc2
1-Heptene,-3.73,CCCCCC=C
Ethirimol,-3.028,CCCCc1c(C)nc(NCC)[nH]c1=O
Pentobarbital,-2.39,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC
o-Chloroaniline,-1.52,Nc1ccccc1Cl
3-Chloroanisole,-2.78,COc1cccc(Cl)c1
Pebulate,-3.53,CCCCN(CC)C(=O)SCCC
Butyl acetate,-1.37,CCCCOC=O
Prednisolone,-3.18,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO
Bromodichloromethane,-1.54,BrC(Cl)Cl
adrenosterone,-3.48,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) 
p-terphenyl,-7.11,c1ccc(cc1)c2ccc(cc2)c3ccccc3
p-Hydroxybenzaldehyde ,-0.96,Oc1ccc(C=O)cc1
Bromomethane,-0.79,CBr
Perfluidone,-3.8,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2
Coumachlor,-5.839,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O
2-Ethylnaphthalene,-4.29,CCc1ccc2ccccc2c1
5-methylcytosine,-1.458,Nc1c(C)c[nH]c(=O)n1 
"2,3,4,5,6-PCB",-7.92,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl 
benodanil,-4.21,c1c(NC(=O)c2ccccc2(I))cccc1
Riboflavin,-3.685,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C
o-Fluorobromobenzene,-2.7,Fc1ccccc1Br
"2,4-Dichlorophenol ",-1.55,Oc1ccc(Cl)cc1Cl
Permethrin,-6.291,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2
piroxicam,-4.16,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 
3-Propanoyloxymethylphenytoin,-4.907,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
Cyclopentane ,-2.64,C1CCCC1
o-Toluidine,-2.21,Cc1ccccc1N
Estragole,-2.92,c1(OC)ccc(CC=C)cc1
karbutilate,-2.93,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 
3-Methyl-1-Butene,-2.73,CC(C)C=C
2-Hydroxypyridine,1.02,Oc1ccccn1
Ethane,-1.36,CC
"1,2-Dichlorobenzene",-3.05,Clc1ccccc1Cl
mercaptobenzothiazole,-3.18,Sc2nc1ccccc1s2 
"2,2',3,3',4,4',5,5',6,6'-PCB",-11.6,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl 
Methoxsalen,-3.664,COc2c1occc1cc3ccc(=O)oc23 
Acetamide,1.58,CC(=O)N
1-Methylnaphthalene,-3.7,Cc1cccc2ccccc12
Napropamide,-3.57,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 
"3,3-Dimethyl-2-butanol",-0.62,CC(O)C(C)(C)C
Methyl pentanoate,-1.36,CCCC(=O)OCC
Menadione,-3.03,CC2=CC(=O)c1ccccc1C2=O 
Phenanthrene,-5.26,c1ccc2c(c1)ccc3ccccc32
"2,4-Dimethylpyridine",0.38,Cc1ccnc(C)c1
1-Nonanol,-3.01,CCCCCCCCCO
Dibromomethane,-1.17,BrCBr
Dexamethasone,-3.59,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
"2,6-Dimethylnaphthalene ",-4.89,Cc1ccc2cc(C)ccc2c1
Butylate,-3.68,CCSC(=O)N(CC(C)C)CC(C)C
nitroglycerin,-2.22,O=N(=O)OCC(CON(=O)=O)ON(=O)=O 
m-Nitroaniline,-2.19,Nc1cccc(c1)N(=O)=O
1-Chlorobutane,-2.03,CCCCCl
triforine,-4.19,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl 
Fluridone,-4.445,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F
6-aminochrysene,-6.2,Nc3cc2c1ccccc1ccc2c4ccccc34 
Estrone,-3.955,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O
RTI 17,-4.706,CCN2c1ccccc1N(C)C(=S)c3cccnc23 
"1,2-Propylene oxide",-0.59,CC1CO1
Nitrazepam,-3.796,O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O
"1,3-diethylthiourea",-1.46,CCNC(=S)NCC
"2,3,5-Trichlorophenol",-2.67,Oc1cc(Cl)cc(Cl)c1Cl
Propyl propanoate,-1.34,CCCCC(=O)OC
Aniline ,-0.41,Nc1ccccc1
"1,5-Dimethlnapthalene",-4.679,Cc1cccc2c(C)cccc12
hydrochlorothiazide,-2.63,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl 
Acenapthylene,-3.96,C1=Cc2cccc3cccc1c23
Ethyl butyrate,-1.28,CCCCCOC(=O)CC
Atratone,-2.084,CCNc1nc(NC(C)C)nc(OC)n1
Benzo(a)pyrene,-8.699,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
Bromoethane,-1.09,CCBr
3-Hexyne,-1.99,CCC#CCC
Digitoxin,-5.293,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
2-Methyl-1-Butene,-2.73,CCC(=C)C
8-quinolinol,-2.42,Oc1cccc2cccnc12 
"1,2,3,4-Tetrahydronapthalene",-4.37,C1CCc2ccccc2C1
phenolphthalein,-2.9,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 
"1,3,5-Tribromobenzene",-5.6,Brc1cc(Br)cc(Br)c1
Ronnel,-5.72,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
methylthiouracil,-2.436,Cc1cc(=O)[nH]c(=S)[nH]1
Eugenol,-1.56,COc1cc(CC=C)ccc1O
5-Allyl-5-isopropylbarbital,-1.708,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C
Pyrene,-6.176,c1cc2ccc3cccc4ccc(c1)c2c34
"1,1-Diethoxyethane ",-0.43,CCOC(C)OCC
Clomazone,-2.338,CC1(C)CON(Cc2ccccc2Cl)C1=O
2-Butoxyethanol,-0.42,CCCCOCCO
Quintozene,-5.82,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl
Androsterone,-4.402,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O
Flurochloridone,-4.047,FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O
Quinoline,-1.3,c1ccc2ncccc2c1
methyl gallate,-1.24,COC(=O)c1cc(O)c(O)c(O)c1 
fluconazole,-1.8,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F 
Chlorzoxazone,-2.831,Clc2ccc1oc(=O)[nH]c1c2
"2,2',3,4,4',5',6-PCB",-7.92,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
alloxan,-1.25,O=C1NC(=O)C(=O)C(=O)N1 
"1,3-Dichloropropane",-1.62,ClCCCCl
m-Fluorobromobenzene,-2.67,Fc1cccc(Br)c1
p-Chlorobromobenzene,-3.63,Clc1ccc(Br)cc1
"2,3-Dimethylbutane",-3.65,CC(C)C(C)C
1-Butene,-1.94,CCC=C
"2,2',3,4,5,5'-PCB",-7.68,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl
cytosine,-1.155,Nc1cc[nH]c(=O)n1 
"1,1,2-Trichlorotrifluoroethane",-3.04,FC(F)(Cl)C(F)(Cl)Cl
Propionitrile,0.28,CCC#N
"O,P'-DDD",-6.51,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl 
o-Nitroanisole,-1.96,COc1ccccc1N(=O)=O
Prasterone,-4.12,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O
Procymidone,-4.8,CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3
Benzo[ghi]perylene,-9.018,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
Dinoseb,-3.38,CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O 
meconin,-1.899,c1c(OC)c(OC)C2C(=O)OCC2c1
Glycerol,1.12,OCC(O)CO
Guaiacol,-1.96,COc1ccccc1O 
chlorpyrifos,-5.67,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl 
9-Methylanthracene,-5.89,Cc1c2ccccc2cc3ccccc13
Antipyrene,0.715,Cc1cc(=O)n(c2ccccc2)n1C
Methyl butyl ether ,-0.99,CCCCOC
7-methylpteridine,-0.854,Cc2cnc1cncnc1n2
simazine,-4.55,CCNc1nc(Cl)nc(NCC)n1 
"N,N-Dimethylacetamide",1.11,CN(C)C(=O)C
Simetryn,-2.676,CSc1nc(nc(n1)N(C)C)N(C)C
Ethylene,-0.4,C=C
"3,3-Dimethyl-1-butanol",-0.5,CC(C)(C)CCO
5-Allyl-5-ethylbarbital,-1.614,O=C1NC(=O)NC(=O)C1(CC)CC=C
"2,3,4-Trichlorophenol",-2.67,Oc1ccc(Cl)c(Cl)c1Cl
Anisole,-1.85,COc1ccccc1
chloropropylate,-4.53,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C
aldosterone,-3.85,CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O 
Difenoxuron,-4.16,COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2
4-Ethyltoluene,-3.11,CCc1ccc(C)cc1
Diisopropylsulfide,-2.24,CC(C)SC(C)C
"1,3-Dinitrobenzene",-2.29,O=N(=O)c1cccc(c1)N(=O)=O
Ethion,-5.54,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
probarbital,-2.21,CCC1(C(C)C)C(=O)NC(=O)NC1=O 
cortisone acetate,-4.21,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C 
Metronidazole,-1.22,Cc1ncc(N(=O)=O)n1CCO
p-Chloroaniline,-1.66,Nc1ccc(Cl)cc1
"2,2-Dimethylpentanol",-1.52,CCCC(C)(C)CO
Furane,-0.82,c1ccoc1
Methoproptryne,-2.928,COCCCNc1nc(NC(C)C)nc(SC)n1
Norea,-3.171,CN(C)C(=O)NC1CC2CC1C3CCCC23
t-Butylbenzene ,-3.66,CC(C)(C)c1ccccc1
kebuzone,-3.27,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
prednisolone acetate,-4.37,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C 
Methyl propyl ether ,-0.39,CCCOC
Isopropyl acetate,-0.55,CC(C)OC(=O)C
Bromobenzene,-2.55,Brc1ccccc1
Ethyl-p-hydroxybenzoate ,-2.35,CCOC(=O)c1ccc(O)cc1
3-Butanoyloxymethylphenytoin,-5.071,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
testosterone propionate,-5.37,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
Coronene,-9.332,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67
allopurinol,-2.266,O=c1[nH]cnc2[nH]ncc12 
Chloroethylene,-1.75,ClC=C
diphenamid,-2.98,CN(C)C(=O)C(c1ccccc1)c2ccccc2 
Tetrabromomethane,-3.14,BrC(Br)(Br)Br
RTI 22,-4.871,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 
phthalimide,-2.61,O=C1NC(=O)c2ccccc12 
Fenarimol,-4.38,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl
Methyl benzoate ,-1.85,COC(=O)c1ccccc1
1-methyluracil,-0.807,Cn1ccc(=O)[nH]c1=O
oxyphenbutazone,-3.73,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 
"2,2',3,5'-PCB",-6.47,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl 
Quinethazone,-3.29,CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O
Diuron,-3.8,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
Cyclopentene ,-2.1,C1CC=CC1
alloxantin,-1.99,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O)
Nonane,-5.88,CCCCCCCCC
2-Chlorophenol,-1.06,Oc1ccccc1Cl
